Rank	Country	CO2 emissions (tons, 2024)	1 Year Change	Per Capita	Share of World
1	China	13124727993	0.79%	9.13	33.12%
2	United States	4632164876	0.30%	13.59	11.69%
3	India	3153829130	4.62%	2.19	7.96%
4	Russia	2009154097	3.12%	14.06	5.07%
5	Japan	972266973	-3.01%	7.79	2.45%
6	Iran	828989585	1.58%	9.62	2.09%
7	Indonesia	812204159	5.13%	2.88	2.05%
8	Saudi Arabia	652511035	2.69%	17.73	1.65%
9	South Korea	588008898	-0.40%	11.29	1.48%
10	Germany	579935607	-1.65%	7.03	1.46%
11	Canada	577972624	1.92%	14.87	1.46%
12	Brazil	491468781	2.34%	2.24	1.24%
13	Mexico	475992111	0.08%	3.41	1.20%
14	Turkey	460027460	3.04%	5.36	1.16%
15	South Africa	440167752	3.02%	7.19	1.11%
16	Vietnam	430819227	10.26%	4.23	1.09%
17	Australia	383403111	1.56%	14.43	0.97%
18	Italy San Marino Holy See	299228526	-1.67%	5.1	0.76%
19	Malaysia	295954220	4.81%	8.57	0.75%
20	United Kingdom	292419359	-4.06%	4.25	0.74%
21	Egypt	291638583	5.73%	2.66	0.74%
22	Thailand	283809078	3.19%	4.07	0.72%
23	Taiwan	280491856	-0.48%	11.68	0.71%
24	Poland	276061915	-1.63%	7.36	0.70%
25	France Monaco	274450524	-3.41%	4.12	0.69%
26	Kazakhstan	258803717	1.32%	13.3	0.65%
27	Iraq	238670397	2.44%	5.19	0.60%
28	Spain Andorra	220083943	-0.41%	4.75	0.56%
29	Pakistan	203988261	-2.35%	0.91	0.51%
30	United Arab Emirates	200558970	4.08%	19.45	0.51%
31	Algeria	186358382	-2.21%	4.07	0.47%
32	Argentina	183271991	-3.49%	3.89	0.46%
33	Philippines	174114309	7.18%	1.5	0.44%
34	Uzbekistan	148538808	11.99%	4.27	0.37%
35	Qatar	135266875	4.70%	45.33	0.34%
36	Nigeria	131910141	4.80%	0.58	0.33%
37	Bangladesh	124190733	4.37%	0.7	0.31%
38	Netherlands	118790884	-3.36%	6.84	0.30%
39	Ukraine	118477849	-2.64%	2.78	0.30%
40	Kuwait	115931281	5.24%	25.51	0.29%
41	Oman	98511206	2.90%	17.89	0.25%
42	Venezuela	96411416	0.02%	2.78	0.24%
43	Colombia	95079303	2.46%	1.84	0.24%
44	Belgium	86646316	1.07%	7.35	0.22%
45	Turkmenistan	81408012	-14.06%	12.81	0.21%
46	Chile	77822575	1.06%	4.1	0.20%
47	Czech Republic (Czechia)	77749164	-9.18%	7.32	0.20%
48	Romania	70883168	0.90%	3.73	0.18%
49	Morocco	70040885	-0.01%	1.81	0.18%
50	Peru	69265213	6.43%	1.99	0.17%
51	North Korea	66239386	0.88%	2.52	0.17%
52	Libya	63953380	1.19%	9.18	0.16%
53	Singapore	58868050	4.93%	9.62	0.15%
54	Austria	58030404	-0.76%	6.55	0.15%
55	Israel State of Palestine	57665413	-4.65%	3.82	0.15%
56	Belarus	54215798	0.73%	5.81	0.14%
57	Greece	52508701	2.48%	4.78	0.13%
58	Ecuador	47963814	2.51%	2.63	0.12%
59	Hungary	42626871	-0.82%	4.5	0.11%
60	Norway	39999523	-3.86%	7.07	0.10%
61	Azerbaijan	38887499	-6.85%	3.75	0.10%
62	Bahrain	37969166	-1.86%	20.7	0.10%
63	Sweden	37774193	3.02%	3.64	0.10%
64	Portugal	35557290	-4.96%	3.53	0.09%
65	Hong Kong	34616164	1.46%	4.48	0.09%
66	Dominican Republic	34222495	4.37%	2.97	0.09%
67	Bulgaria	34188472	-7.53%	5.07	0.09%
68	Switzerland Liechtenstein	33732136	0.20%	3.79	0.09%
69	Ireland	32569284	-0.89%	6.47	0.08%
70	Tunisia	32179949	3.11%	2.61	0.08%
71	New Zealand	31814597	0.12%	6.37	0.08%
72	Syria	31449838	0.30%	1.4	0.08%
73	Myanmar	31362831	0.39%	0.55	0.08%
74	Finland	31107444	-5.41%	5.5	0.08%
75	Slovakia	29892541	-4.03%	5.49	0.08%
76	Bolivia	28435622	16.42%	2.33	0.07%
77	Angola	28100364	2.80%	0.75	0.07%
78	Mongolia	27657810	1.86%	8.21	0.07%
79	Trinidad and Tobago	26793426	-0.58%	19.4	0.07%
80	Laos	26062727	1.24%	3.46	0.07%
81	Denmark	25570825	-2.44%	4.34	0.07%
82	Ghana	24171006	4.08%	0.73	0.06%
83	Jordan	24143975	0.43%	2.29	0.06%
84	Sri Lanka	23334668	8.13%	1.1	0.06%
85	Sudan South Sudan	21867830	0.76%	0.34	0.06%
86	Kenya	21638682	1.74%	0.37	0.06%
87	Tanzania	21336296	-1.10%	0.3	0.05%
88	Cuba	21004155	4.88%	1.82	0.05%
89	Bosnia and Herzegovina	20407390	-2.02%	5.89	0.05%
90	Guatemala	20369356	1.20%	1.06	0.05%
91	Cambodia	19439220	2.77%	1.1	0.05%
92	Ethiopia	19364847	1.83%	0.16	0.05%
93	Côte d'Ivoire	18810952	4.94%	0.65	0.05%
94	Croatia	18679585	0.08%	4.64	0.05%
95	Nepal	15891857	2.98%	0.5	0.04%
96	Puerto Rico	15430081	5.47%	4.25	0.04%
97	Senegal	14202340	3.54%	0.74	0.04%
98	Georgia	13467408	-0.66%	3.5	0.03%
99	Slovenia	13331365	5.65%	6.42	0.03%
100	Lithuania	12969975	-0.07%	4.63	0.03%
