#,Country,Coal Reserves (tons) in 2016,World Share
1,United States,"254,197,000,000",22.31%
2,Russia,"176,770,840,800",15.51%
3,Australia,"159,634,329,600",14.01%
4,China,"149,818,259,000",13.15%
5,India,"107,726,551,700",9.45%
6,Germany,"39,802,209,480",3.49%
7,Ukraine,"37,891,906,250",3.33%
8,South Africa,"35,053,458,000",3.08%
9,Poland,"28,451,723,410",2.50%
10,Kazakhstan,"28,224,647,550",2.48%
11,Indonesia,"24,910,001,380",2.19%
12,Turkey,"12,514,525,430",1.10%
13,New Zealand,"8,349,998,250",0.73%
14,Serbia,"8,282,757,340",0.73%
15,Brazil,"7,270,836,760",0.64%
16,Canada,"7,255,404,420",0.64%
17,Colombia,"5,380,375,110",0.47%
18,Czech Republic (Czechia),"4,012,408,400",0.35%
19,Vietnam,"3,703,761,600",0.33%
20,Pakistan,"3,377,477,840",0.30%
21,Hungary,"3,206,619,790",0.28%
22,Greece,"3,170,243,560",0.28%
23,Mongolia,"2,777,821,200",0.24%
24,Bulgaria,"2,608,065,460",0.23%
25,Bosnia and Herzegovina,"2,495,629,840",0.22%
26,Mozambique,"1,975,339,520",0.17%
27,Uzbekistan,"1,515,676,250",0.13%
28,Mexico,"1,334,897,410",0.12%
29,Iran,"1,326,078,930",0.12%
30,Spain,"1,308,441,970",0.11%
31,Chile,"1,301,828,110",0.11%
32,Thailand,"1,171,755,530",0.10%
33,Kyrgyzstan,"1,070,343,010",0.09%
34,Venezuela,"805,788,610",0.07%
35,North Korea,"661,386,000",0.06%
36,Albania,"575,405,820",0.05%
37,Laos,"554,461,930",0.05%
38,Zimbabwe,"553,359,620",0.05%
39,Argentina,"551,155,000",0.05%
40,Netherlands,"547,848,070",0.05%
41,Tajikistan,"413,366,250",0.04%
42,Slovenia,"408,957,010",0.04%
43,Japan,"385,808,500",0.03%
44,Nigeria,"379,194,640",0.03%
45,North Macedonia,"365,966,920",0.03%
46,South Korea,"359,353,060",0.03%
47,Philippines,"348,329,960",0.03%
48,Bangladesh,"322,976,830",0.03%
49,Romania,"320,772,210",0.03%
50,Tanzania,"296,521,390",0.03%
51,Georgia,"221,564,310",0.02%
52,Greenland,"201,722,730",0.02%
53,Malaysia,"198,415,800",0.02%
54,Armenia,"179,676,530",0.02%
55,Eswatini,"158,732,640",0.01%
56,Montenegro,"156,528,020",0.01%
57,Slovakia,"148,811,850",0.01%
58,Peru,"112,435,620",0.01%
59,Botswana,"106,434,000",0.01%
60,DR Congo,"97,003,280",0.01%
61,United Kingdom,"77,000,000",0.01%
62,Afghanistan,"72,752,460",0.01%
63,Algeria,"65,036,290",0.01%
64,Zambia,"49,603,950",0.00%
65,Portugal,"39,683,160",0.00%
66,Ecuador,"26,455,440",0.00%
67,Italy,"18,739,270",0.00%
68,Egypt,"17,636,960",0.00%
69,Morocco,"15,432,340",0.00%
70,Ireland,"15,432,340",0.00%
71,Niger,"6,613,860",0.00%
72,Myanmar,"6,613,860",0.00%
73,Central African Republic,"3,306,930",0.00%
74,Malawi,"2,204,620",0.00%
75,New Caledonia,"2,204,620",0.00%
76,Bolivia,"1,102,310",0.00%
77,Sweden,"1,102,310",0.00%
78,Norway,"1,102,310",0.00%
79,Nepal,"1,102,310",0.00%
80,Taiwan,"1,102,310",0.00%
