Rank,Country,Energy Consumption (BTU),World Share,Per capita Yearly BTU
1,China,"138,689,472,800,000",23.81%,"98,197"
2,United States,"97,661,161,460,000",16.77%,"293,979"
3,Russia,"32,832,743,720,001",5.64%,"224,594"
4,India,"30,476,788,610,000",5.23%,"22,415"
5,Japan,"19,402,928,820,000",3.33%,"152,701"
6,Canada,"15,062,124,200,000",2.59%,"409,202"
7,Germany,"14,062,539,590,000",2.41%,"169,216"
8,South Korea,"12,659,085,870,000",2.17%,"245,873"
9,Brazil,"12,566,399,560,000",2.16%,"61,388"
10,Iran,"11,599,267,500,000",1.99%,"136,419"
11,Saudi Arabia,"10,997,456,810,000",1.89%,"357,264"
12,France,"10,241,662,730,000",1.76%,"156,877"
13,United Kingdom,"8,190,849,783,001",1.41%,"123,441"
14,Mexico,"7,868,848,622,000",1.35%,"63,767"
15,Indonesia,"7,158,688,937,000",1.23%,"26,777"
16,Italy,"6,771,608,308,000",1.16%,"112,131"
17,Turkey,"6,432,497,777,000",1.10%,"77,422"
18,Australia,"6,127,579,421,000",1.05%,"247,769"
19,Spain,"5,726,408,206,000",0.98%,"122,180"
20,South Africa,"5,672,958,314,000",0.97%,"98,429"
21,Thailand,"5,519,011,566,000",0.95%,"77,558"
22,Taiwan,"4,672,849,385,000",0.80%,"197,726"
23,United Arab Emirates,"4,667,004,234,000",0.80%,"505,397"
24,Poland,"4,334,474,486,001",0.74%,"113,305"
25,Egypt,"4,012,356,526,000",0.69%,"38,693"
26,Netherlands,"3,938,132,686,000",0.68%,"227,436"
27,Argentina,"3,867,523,595,000",0.66%,"87,325"
28,Ukraine,"3,632,194,307,000",0.62%,"79,941"
29,Singapore,"3,630,377,394,000",0.62%,"647,810"
30,Kazakhstan,"3,574,850,089,000",0.61%,"191,661"
31,Malaysia,"3,515,197,470,000",0.60%,"108,642"
32,Vietnam,"3,242,513,713,000",0.56%,"34,068"
33,Pakistan,"3,183,442,105,000",0.55%,"14,258"
34,Belgium,"2,684,685,429,000",0.46%,"235,984"
35,Venezuela,"2,492,568,948,000",0.43%,"81,549"
36,Algeria,"2,398,447,784,000",0.41%,"57,531"
37,Sweden,"2,218,710,262,000",0.38%,"220,595"
38,Qatar,"2,159,502,542,000",0.37%,"797,833"
39,Norway,"1,901,374,555,000",0.33%,"360,327"
40,Iraq,"1,865,888,786,000",0.32%,"47,433"
41,Philippines,"1,832,128,988,000",0.31%,"16,945"
42,Uzbekistan,"1,798,254,680,000",0.31%,"56,515"
43,Czech Republic (Czechia),"1,751,291,794,000",0.30%,"166,136"
44,Turkmenistan,"1,747,505,385,000",0.30%,"268,555"
45,Colombia,"1,660,776,722,000",0.29%,"34,505"
46,Kuwait,"1,591,008,895,000",0.27%,"382,943"
47,Nigeria,"1,540,259,766,000",0.26%,"7,692"
48,Austria,"1,501,633,374,000",0.26%,"170,664"
49,Chile,"1,496,140,520,000",0.26%,"80,616"
50,Bangladesh,"1,417,359,711,000",0.24%,"8,739"
51,Romania,"1,411,400,168,000",0.24%,"71,683"
52,Hong Kong,"1,322,087,609,000",0.23%,"177,583"
53,Finland,"1,227,851,414,000",0.21%,"222,905"
54,Switzerland,"1,171,749,700,000",0.20%,"138,609"
55,Greece,"1,161,715,086,000",0.20%,"108,031"
56,Oman,"1,140,750,863,000",0.20%,"251,411"
57,Peru,"1,118,522,631,000",0.19%,"35,707"
58,Portugal,"1,077,120,037,000",0.18%,"104,263"
59,Israel,"1,054,812,660,001",0.18%,"126,147"
