Rank,Country,Gas Reserves (MMcf),World Share
1,Russia,"1,688,228,000",24.39%
2,Iran,"1,183,019,000",17.09%
3,Qatar,"858,098,000",12.40%
4,United States,"322,234,000",4.65%
5,Saudi Arabia,"303,284,000",4.38%
6,Turkmenistan,"265,000,000",3.83%
7,United Arab Emirates,"215,098,000",3.11%
8,Venezuela,"201,343,000",2.91%
9,Nigeria,"186,610,000",2.70%
10,China,"184,419,000",2.66%
11,Algeria,"159,054,000",2.30%
12,Iraq,"111,522,000",1.61%
13,Mozambique,"100,000,000",1.44%
14,Indonesia,"98,000,000",1.42%
15,Kazakhstan,"85,000,000",1.23%
16,Egypt,"77,200,000",1.12%
17,Canada,"77,065,000",1.11%
18,Australia,"70,230,000",1.01%
19,Norway,"65,543,000",0.95%
20,Uzbekistan,"65,000,000",0.94%
21,Kuwait,"63,000,000",0.91%
22,Libya,"53,144,000",0.77%
23,India,"43,344,000",0.63%
24,Malaysia,"41,765,000",0.60%
25,Ukraine,"39,000,000",0.56%
26,Azerbaijan,"35,000,000",0.51%
27,Netherlands,"27,780,000",0.40%
28,Vietnam,"24,700,000",0.36%
29,Oman,"23,000,000",0.33%
30,Myanmar,"22,500,000",0.33%
31,Pakistan,"19,158,000",0.28%
32,Yemen,"16,900,000",0.24%
33,Brazil,"15,184,000",0.22%
34,Peru,"14,090,000",0.20%
35,Mexico,"12,064,000",0.17%
36,Argentina,"11,174,000",0.16%
37,Angola,"10,880,000",0.16%
38,Trinidad and Tobago,"10,600,000",0.15%
39,Bolivia,"10,450,000",0.15%
40,Brunei,"9,200,000",0.13%
41,Syria,"8,500,000",0.12%
42,United Kingdom,"7,319,000",0.11%
43,Thailand,"7,304,000",0.11%
44,Bangladesh,"7,253,000",0.10%
45,Israel,"6,216,000",0.09%
46,Papua New Guinea,"4,996,000",0.07%
47,Cameroon,"4,770,000",0.07%
48,Colombia,"4,361,000",0.06%
49,Romania,"3,725,000",0.05%
50,Philippines,"3,480,000",0.05%
51,Chile,"3,460,000",0.05%
52,Bahrain,"3,250,000",0.05%
53,Congo,"3,200,000",0.05%
54,Sudan,"3,000,000",0.04%
55,Poland,"2,884,000",0.04%
56,Cuba,"2,500,000",0.04%
57,Tunisia,"2,300,000",0.03%
58,Namibia,"2,200,000",0.03%
59,Rwanda,"2,000,000",0.03%
60,Afghanistan,"1,750,000",0.03%
61,Italy,"1,735,000",0.03%
62,Serbia,"1,700,000",0.03%
63,Germany,"1,483,000",0.02%
64,Equatorial Guinea,"1,300,000",0.02%
65,New Zealand,"1,267,000",0.02%
66,Mauritania,"1,000,000",0.01%
67,Côte d'Ivoire,"1,000,000",0.01%
68,Gabon,"1,000,000",0.01%
69,Ethiopia,"880,000",0.01%
70,Croatia,"880,000",0.01%
71,Ghana,"800,000",0.01%
72,Japan,"738,000",0.01%
73,Denmark,"565,000",0.01%
74,Uganda,"500,000",0.01%
75,Slovakia,"500,000",0.01%
76,Ecuador,"385,000",0.01%
77,Ireland,"350,000",0.01%
78,France,"304,000",0.00%
79,Georgia,"300,000",0.00%
80,Hungary,"272,000",0.00%
81,South Korea,"250,000",0.00%
82,Austria,"247,000",0.00%
83,Tanzania,"230,000",0.00%
84,Taiwan,"220,000",0.00%
85,Jordan,"213,000",0.00%
86,Somalia,"200,000",0.00%
87,Kyrgyzstan,"200,000",0.00%
88,Tajikistan,"200,000",0.00%
89,Bulgaria,"200,000",0.00%
90,Czech Republic (Czechia),"140,000",0.00%
91,Turkey,"131,000",0.00%
92,Belarus,"100,000",0.00%
93,Spain,"90,000",0.00%
94,Morocco,"51,000",0.00%
95,Benin,"40,000",0.00%
96,DR Congo,"35,000",0.00%
97,Greece,"35,000",0.00%
98,Albania,"29,000",0.00%
99,Barbados,"4,000",0.00%
