Rank,Country,Oil Reserves (barrels) in 2025,World Share
1,Venezuela,"303,008,000,000",17.17%
2,Saudi Arabia,"267,230,000,000",15.14%
3,Iran,"208,600,000,000",11.82%
4,Canada,"163,108,000,000",9.24%
5,Iraq,"145,019,000,000",8.22%
6,United Arab Emirates,"113,000,000,000",6.40%
7,Kuwait,"101,500,000,000",5.75%
8,United States,"83,729,430,000",4.74%
9,Russia,"80,000,000,000",4.53%
10,Libya,"48,363,000,000",2.74%
11,Nigeria,"37,500,000,000",2.12%
12,Kazakhstan,"30,000,000,000",1.70%
13,China,"28,182,000,000",1.60%
14,Qatar,"25,244,000,000",1.43%
15,Brazil,"15,894,160,000",0.90%
16,Algeria,"12,200,000,000",0.69%
17,Guyana,"11,000,000,000",0.62%
18,Ecuador,"8,273,000,000",0.47%
19,Azerbaijan,"7,000,000,000",0.40%
20,Norway,"6,912,490,000",0.39%
21,Mexico,"5,901,800,000",0.33%
22,Sudan,"5,000,000,000",0.28%
23,India,"4,980,857,000",0.28%
24,Oman,"4,971,000,000",0.28%
25,Vietnam,"4,400,000,000",0.25%
26,Egypt,"3,300,000,000",0.19%
27,Yemen,"3,000,000,000",0.17%
28,Argentina,"2,999,366,000",0.17%
29,Malaysia,"2,700,000,000",0.15%
30,Angola,"2,550,000,000",0.14%
31,Uganda,"2,500,000,000",0.14%
32,Syria,"2,500,000,000",0.14%
33,Indonesia,"2,410,000,000",0.14%
34,Colombia,"2,019,000,000",0.11%
35,Gabon,"2,000,000,000",0.11%
36,Congo,"1,811,000,000",0.10%
37,Australia,"1,803,000,000",0.10%
38,Chad,"1,500,000,000",0.09%
39,United Kingdom,"1,500,000,000",0.09%
40,Equatorial Guinea,"1,100,000,000",0.06%
41,Brunei,"1,100,000,000",0.06%
42,Peru,"671,214,000",0.04%
43,Ghana,"660,000,000",0.04%
44,Turkmenistan,"600,000,000",0.03%
45,Romania,"600,000,000",0.03%
46,Uzbekistan,"594,000,000",0.03%
47,Italy,"578,023,000",0.03%
48,Turkey,"507,000,000",0.03%
49,Tunisia,"425,000,000",0.02%
50,Ukraine,"395,000,000",0.02%
51,Denmark,"364,808,000",0.02%
52,Pakistan,"243,000,000",0.01%
53,Trinidad and Tobago,"242,982,000",0.01%
54,Bolivia,"240,900,000",0.01%
55,Thailand,"239,880,000",0.01%
56,Cameroon,"200,000,000",0.01%
57,Belarus,"198,000,000",0.01%
58,DR Congo,"180,000,000",0.01%
59,Bahrain,"169,900,000",0.01%
60,Niger,"150,000,000",0.01%
61,Chile,"150,000,000",0.01%
62,Spain,"150,000,000",0.01%
63,Albania,"150,000,000",0.01%
64,Papua New Guinea,"143,387,000",0.01%
65,Myanmar,"139,000,000",0.01%
66,Philippines,"138,500,000",0.01%
67,Cuba,"124,000,000",0.01%
68,Poland,"115,000,000",0.01%
69,Germany,"105,840,000",0.01%
70,Suriname,"101,700,000",0.01%
71,Mozambique,"100,000,000",0.01%
72,Côte d'Ivoire,"100,000,000",0.01%
73,Guatemala,"88,321,000",0.01%
74,Serbia,"77,500,000",0.00%
75,Croatia,"71,000,000",0.00%
76,France,"67,583,000",0.00%
77,New Zealand,"45,355,000",0.00%
78,Japan,"44,115,000",0.00%
79,Kyrgyzstan,"40,000,000",0.00%
80,Georgia,"35,000,000",0.00%
81,Austria,"27,700,000",0.00%
82,Mauritania,"20,000,000",0.00%
83,South Africa,"15,000,000",0.00%
84,Bulgaria,"15,000,000",0.00%
85,Czech Republic (Czechia),"15,000,000",0.00%
86,Hungary,"13,800,000",0.00%
87,Israel,"12,730,000",0.00%
88,Tajikistan,"12,000,000",0.00%
89,Lithuania,"12,000,000",0.00%
90,Netherlands,"10,693,000",0.00%
91,Greece,"10,000,000",0.00%
92,Slovakia,"9,000,000",0.00%
93,Benin,"8,000,000",0.00%
94,Belize,"6,700,000",0.00%
95,Bangladesh,"2,800,000",0.00%
96,Taiwan,"2,380,000",0.00%
97,Barbados,"1,542,000",0.00%
98,Jordan,"1,000,000",0.00%
99,Morocco,"684,000",0.00%
100,Ethiopia,"428,000",0.00%
