Rank,Urban Area,Population Estimate (2025),1 Year Change (over 2024),Land Area (Km²),Density (P/Km²),Global Rank,Projections (2030),Projections (2050)
1,New Delhi,"$30,222,405",1%,2101,14385,4,31341648,33890685
2,Kolkata,"$22,549,738",0.45%,2329,9682,9,23033107,23767882
3,Mumbai,"$20,203,056",0.87%,740,27301,12,21114847,23059150
4,Bengaluru,"$13,187,098",0%,642,20541,24,13556889,14258150
5,Chennai,"$11,153,205",0.42%,1059,10532,29,11350843,11756606
6,Hajipur,"$9,941,510",1.78%,3092,3215,34,11060041,13694623
7,Hyderabad,"$9,190,795",0.39%,889,10338,37,9317456,9546498
8,Ahmedabad,"$7,632,408",0.44%,365,20911,44,7806201,8235676
9,Surat,"$6,908,925",1%,287,24073,53,7218848,8048617
10,Pune,"$6,817,951",0.77%,585,11655,55,7087562,7741530
11,Kozhikode,"$6,123,872",0.84%,1078,5681,66,6430980,7104281
12,Kochi,"$5,077,670",0.89%,1261,4027,80,5452371,5843908
13,Lucknow,"$5,052,444",0.97%,506,9985,82,5227702,5689737
14,Kanpur,"$4,329,973",0.44%,306,14150,97,4424695,4637879
15,Jaipur,"$4,071,754",0.62%,449,9068,110,4194043,4490178
16,Varanasi,"$3,858,863",0.82%,356,10840,119,4096442,4764588
17,Indore,"$3,476,423",0.68%,276,12596,136,3597750,3952816
18,Patna,"$3,309,383",0.98%,257,12877,141,3439222,3875583
19,Nagpur,"$3,257,841",0.19%,279,11677,147,3312792,3353550
20,Kalyan-Dombivli,"$3,163,424",1%,173,18286,156,3306398,3659170
21,Kollam,"$3,074,562",0.76%,695,4424,162,3281408,3612611
22,Thiruvananthapuram,"$2,946,119",0.70%,374,7877,166,3030596,3215448
23,Asansol,"$2,924,741",0.51%,243,12036,167,3022941,3168038
24,Tamluk,"$2,894,484",1.42%,1057,2738,173,2989809,3222647
25,Agra,"$2,786,762",1%,209,13334,180,2871268,3073941
26,Bhopal,"$2,487,205",1.12%,236,10539,199,2589500,2858310
27,Dighwara,"$2,469,443",3.03%,965,2559,202,2700127,3631651
28,Chandigarh,"$2,437,733",0.86%,364,6697,203,2507415,2640593
29,Ponnani,"$2,409,567",0.91%,721,3342,205,2500241,2865843
30,Coimbatore,"$2,382,988",0.50%,407,5855,206,2499066,2679132
31,Prayagraj,"$2,347,869",0.62%,159,14766,210,2419042,2647258
32,Vadodara,"$2,270,298",0.76%,213,10659,219,2383962,2623510
33,Ludhiana,"$2,245,106",0.34%,226,9934,224,2277107,2332030
34,Meerut,2209886,1.04%,227,9735,227,2316006,2627864
35,Madurai,2138746,0.95%,213,10041,236,2194966,2313310
36,Dhanbad,2020181,0.93%,262,7711,245,2078134,2188208
37,Mehsi,2018610,2.92%,808,2498,246,2316130,3063220
38,Nashik,1996763,0.87%,202,9885,247,2073545,2265769
39,Jamshedpur,1956840,0.46%,158,12385,253,2004152,2066797
40,Bibhutpur,1904411,2.23%,608,3132,264,2132498,2776110
41,Ranchi,1819944,1.19%,206,8835,274,1907909,2161121
42,Aligarh,1729663,0.71%,111,15583,283,1783629,1923350
43,Dhulian,1699325,0.69%,301,5646,287,1749604,1911978
44,Visakhapatnam,1641957,0.21%,208,7894,295,1658408,1678722
45,Bareilly,1635214,0.77%,166,9851,298,1710944,1858642
46,Maharajganj,1601258,2.73%,644,2486,307,1782152,2350572
47,Jabalpur,1582131,0.38%,145,10911,313,1620846,1693775
48,Rajkot,1581235,0.42%,128,12353,314,1613778,1675334
49,Chhatrapati Sambhajinagar,1567020,0.46%,124,12637,317,1598916,1656722
50,Gwalior,1554246,0.73%,121,12845,321,1613839,1761726
51,Vasai-Virar,1542177,1.18%,136,11340,323,1624686,1866951
52,Gorakhpur,1519206,0.95%,143,10624,330,1582312,1728295
53,Jodhpur,1515910,0.81%,234,6478,332,1572346,1771020
54,Moradabad,1484611,0.73%,108,13746,342,1540845,1714985
55,Raipur,1478688,0.52%,174,8498,345,1535984,1646535
56,Durg,1393235,0.80%,187,7450,365,1436938,1550026
57,Thrissur,1371675,0.68%,231,5938,369,1427990,1604841
58,Vijayawada,1351098,-0.05%,121,11166,374,1347540,1300789
59,Tiruchirappalli,1349040,0.41%,149,9054,376,1378159,1427111
60,Mysuru,1342126,0.75%,145,9256,379,1405189,1528566
61,Salem,1337000,0.48%,155,8626,380,1376685,1470807
62,Guwahati,1314019,0.47%,191,6880,392,1345830,1417949
63,Amritsar,1303330,0.48%,131,9949,395,1327576,1380274
64,Saharanpur,1275279,1.01%,98,13013,401,1329535,1553938
65,Tiruppur,1242837,0.76%,200,6214,408,1278744,1335295
66,Gyanpur,1237249,2.23%,508,2436,412,1375249,1846032
67,Kota,1232364,0.73%,132,9336,415,1279903,1442795
68,Dehradun,1219198,0.92%,170,7172,421,1275131,1453566
69,Begusarai,1210200,1.51%,211,5736,426,1290975,1521110
70,Jalandhar,1192763,0.32%,144,8283,433,1210519,1264740
71,Jammu,1154466,0.45%,140,8246,443,1181415,1227268
72,Bhubaneshwar,1146434,0.27%,153,7493,450,1161468,1180858
73,Srinagar,1126638,1.06%,78,14444,458,1206508,1400655
74,Berhampore,1109144,0.86%,134,8277,465,1150043,1208395
75,Solapur,1102702,0.19%,78,14137,468,1112973,1126043
76,Kottayam,1043314,1.04%,240,4347,490,1085590,1230690
77,Barharia,1038927,1.39%,354,2935,492,1135363,1384888
78,Thalassery,1038647,0.83%,209,4970,493,1085972,1306435
79,Malda,1001322,1.70%,277,3615,511,1071286,1312957
80,Puducherry,998290,0.33%,89,11217,513,1018526,1091313
81,Mangaluru,993566,0.81%,231,4301,516,1032202,1122409
82,Gaya,991081,1.75%,145,6835,519,1046303,1227130
83,Dharwad,965667,0.33%,56,17244,539,981494,1001811
84,Faizabad,952074,0.85%,79,12052,546,1005114,1176493
85,Darbhanga,950875,2.75%,127,7487,547,1043372,1222843
86,Krishnanagar,948788,0.57%,64,14825,551,998456,1060796
87,Erode,892758,0.60%,161,5545,579,921951,984009
88,Sitamarhi,889696,4.06%,196,4539,582,993046,1219664
89,Bikaner,882222,0.62%,96,9190,586,906487,971616
90,Firozabad,878282,0.61%,52,16890,594,950087,1058263
91,Bokaro,862593,0.59%,99,8713,605,885475,927782
92,Guntur,862068,0.26%,82,10513,606,866443,854282
93,Muzaffarnagar,849004,0.91%,71,11958,616,913812,1074588
94,Bakhtiyarpur,843195,1.83%,149,5659,623,898020,1086779
95,Kotwali,839900,2.08%,132,6363,624,996804,1240375
96,Colachel,837735,1.48%,270,3103,627,921978,1000380
97,Warangal,837561,0.63%,105,7977,628,852096,878477
98,Imphal,824757,0.82%,201,4103,636,840815,865260
99,Vellore,820103,0.98%,97,8455,640,859584,935591
100,Kolhapur,819671,0.32%,86,9531,641,832741,858562
101,Munger,814325,1.55%,105,7755,646,867650,1028172
102,Udaipur,807617,0.78%,118,6844,656,838479,917797
103,Belagavi,800130,0.33%,86,9304,660,817328,834119
104,Bilaspur,799772,0.80%,83,9636,661,828225,917791
105,Jalgaon,781486,1.14%,59,13246,680,816739,903711
106,Rourkela,776631,1.67%,96,8090,683,824880,958550
107,Kharagpur,776133,0.70%,52,14926,685,809639,848040
108,Amravati,771610,1.63%,76,10153,689,791449,826466
109,Cape Town,770260,0.15%,59,13055,692,787469,793934
110,Nanded,770215,0.44%,74,10408,693,787086,827354
111,Sangli,761451,0.32%,89,8556,699,774964,788609
112,Agartala,758699,0.63%,110,6897,703,779316,884598
113,Kalaburagi,753963,0.42%,69,10927,712,768358,809986
114,Bhavnagar,739115,0.48%,65,11371,724,756728,816847
115,Nellore,732235,0.48%,89,8227,731,756554,803095
116,Patiala,718308,0.58%,94,7642,746,733989,760993
117,Haridwar,717990,1.39%,101,7109,748,758279,901239
118,Mirzapur,710567,1.16%,102,6966,756,778462,914323
119,Panipat,710363,1.02%,96,7400,757,741150,832212
120,Rasoi,703790,1.34%,98,7182,760,742187,860079
121,Shahjahanpur,694580,1.12%,88,7893,774,726627,818791
122,Panvel,692036,0.96%,87,7954,778,732425,834354
123,Akola,683391,0.58%,68,10050,788,701860,741423
124,Vapi,682459,1.06%,106,6438,789,729944,860515
125,Jamnagar,680589,0.53%,73,9323,795,696796,736647
126,Yamunanagar,677536,0.92%,71,9543,801,712833,807022
127,Anand,664789,0.83%,72,9233,816,705434,786108
128,Kannur,662128,0.89%,127,5214,821,690186,742413
129,Jhansi,662059,0.59%,70,9458,822,748866,802760
130,Siliguri,658183,0.82%,130,5063,827,685270,753072
131,Dhule,643777,1%,58,11100,838,679631,774383
132,Jalpaiguri,642158,1%,46,13960,840,680302,791216
133,Ajmer,631176,0.82%,91,6936,858,663451,733045
134,Malegaon,618133,0.83%,47,13152,872,650483,722400
135,Farrukhabad,615831,1.31%,63,9775,874,656091,756748
136,Ambala,615565,0.64%,96,6412,876,634169,669042
137,Rajmahal,612055,0.82%,97,6310,885,631144,669228
138,Bihar Sharif,607401,1.49%,43,14126,895,639570,737953
139,Jangalpara,600501,0.61%,208,2887,906,624612,709891
140,Darjeeling,590052,0.50%,132,4470,923,625714,655640
141,Brahmapur,590028,0.20%,56,10536,924,595917,602915
142,Sagar,587471,0.56%,56,10491,928,610682,666693
143,Ballari,587340,0.30%,53,11082,929,597775,608041
144,Deoria,586987,1.25%,64,9172,930,623717,749232
145,Ujjain,583405,0.73%,52,11219,938,606237,695636
146,Rajamahendravaram,582520,-0.04%,71,8205,943,581413,562560
147,Jaunpur,580893,1.58%,50,11618,946,612976,749752
148,Ballia,576284,2.57%,97,5941,953,618883,705657
149,Alwar,571972,0.92%,63,9079,958,600060,671520
150,Mathura,566188,0.97%,104,5444,968,595903,682563
151,Sultanpur,562032,2.38%,86,6535,975,609511,839499
152,Chhapra,559249,1.16%,44,12710,980,593823,682478
153,Davanagere,559117,0.74%,47,11896,981,576899,617668
154,Kalyanpur,557803,6.11%,243,2295,984,642282,828893
155,Rampur,553229,0.70%,38,14559,991,573814,626786
156,Azamgarh,551621,1.97%,94,5868,996,579074,701158
157,Bahraich,550317,1.29%,44,12507,999,588007,684566
158,Arrah,547584,2.86%,62,8832,1005,586538,690683
159,Silchar,544936,0.53%,62,8789,1008,563687,609400
160,Hisar,543775,2.63%,74,7348,1011,564731,634311
161,Bulandshahr,543659,1.21%,34,15990,1013,583264,674360
162,Tirupati,539275,0.81%,76,7096,1024,554119,586265
163,Bettiah,535979,1.64%,101,5307,1032,628350,743558
164,Shillong,534861,0.61%,46,11627,1037,557993,605358
165,Ahmednagar,534622,0.81%,85,6290,1038,556240,622785
166,Rohtak,526540,0.84%,62,8493,1053,547098,617625
167,Latur,519913,0.65%,49,10610,1064,533082,584392
168,Bhore,518289,1.42%,195,2658,1067,573646,745032
169,Satna,517402,0.82%,50,10348,1070,540866,587680
170,Mau,512415,1.13%,61,8400,1084,533768,666404
171,Roorkee,511291,1.40%,56,9130,1086,547285,637336
172,Lakhimpur,501540,0.90%,49,10236,1103,525397,610262
173,Fatehpur,494897,0.51%,32,15466,1120,508908,555135
174,Karnal,494241,1.64%,65,7604,1123,525089,592289
175,Hapur,493837,1.12%,49,10078,1126,519950,601826
176,Hardoi,493665,1.02%,34,14520,1128,528196,588464
177,Kakinada,488958,-0.10%,62,7886,1135,487967,494183
178,Bazarati,487581,0.74%,162,3010,1138,512561,560414
179,Dimapur,487500,0.46%,88,5540,1139,501052,520447
180,Cooch Behar,484313,1.19%,65,7451,1144,512931,585795
181,Siuri,480595,0.52%,29,16572,1154,491939,527741
182,Gonda,477697,1.30%,56,8530,1162,503801,616364
183,Etawah,475213,0.87%,38,12506,1166,501219,553740
184,Ghazipur,473824,1.19%,70,6769,1171,562617,771203
185,Raebareli,472091,0.90%,41,11514,1175,491732,574952
186,Sitapur,469750,1.42%,51,9211,1183,500562,601154
