Year,GDP Nominal ,GDP Growth,GDP per capita,Pop. Change
2031,"$6,792,432,000,000",6.50%,"$4,421",0.75%
2030,"$6,173,385,000,000",6.50%,"$4,048",0.77%
2029,"$5,599,432,000,000",6.50%,"$3,700",0.80%
2028,"$5,058,754,000,000",6.50%,"$3,369",0.82%
2027,"$4,579,083,000,000",6.50%,"$3,075",0.85%
2026,"$4,153,191,000,000",6.50%,"$2,813",0.87%
2025,"$3,916,312,000,000",7.60%,"$2,675",0.89%
2024,"$3,760,814,000,000",7.10%,"$2,592",0.89%
2023,"$3,500,906,000,000",7.20%,"$2,434",0.89%
2022,"$3,249,939,000,000",7.60%,"$2,280",0.79%
2021,"$3,084,517,000,000",9.70%,"$2,181",0.83%
2020,"$2,611,953,000,000",-5.80%,"$1,862",0.98%
2019,"$2,776,336,000,000",3.90%,"$1,999",1.05%
2018,"$2,653,495,000,000",6.50%,"$1,930",1.10%
2017,"$2,609,908,000,000",6.80%,"$1,920",1.17%
2016,"$2,264,818,000,000",8.30%,"$1,685",1.20%
2015,"$2,081,604,000,000",8.00%,"$1,567",1.20%
2014,"$2,023,143,000,000",7.40%,"$1,542",1.27%
2013,"$1,847,019,000,000",6.40%,"$1,425",1.34%
2012,"$1,822,862,000,000",5.50%,"$1,426",1.38%
2011,"$1,823,052,000,000",5.20%,"$1,445",1.43%
2010,"$1,675,615,000,000",8.50%,"$1,348",1.47%
2009,"$1,341,889,000,000",7.90%,"$1,095",1.46%
2008,"$1,198,895,000,000",3.10%,$993,1.45%
2007,"$1,216,736,000,000",7.70%,"$1,022",1.52%
2006,"$940,260,000,000",8.10%,$802,1.58%
2005,"$820,385,000,000",7.90%,$710,1.64%
2004,"$709,152,000,000",7.90%,$624,1.72%
2003,"$607,701,000,000",7.90%,$544,1.75%
2002,"$514,938,000,000",3.80%,$469,1.83%
2001,"$485,440,000,000",4.80%,$450,1.89%
2000,"$468,396,000,000",3.80%,$443,1.90%
1999,"$458,821,000,000",8.80%,$442,1.92%
1998,"$421,378,000,000",6.20%,$414,1.95%
1997,"$415,895,000,000",4.00%,$416,1.99%
1996,"$392,902,000,000",7.50%,$401,2.02%
1995,"$360,281,000,000",7.60%,$375,2.03%
1994,"$327,275,000,000",6.70%,$348,2.07%
1993,"$279,295,000,000",4.80%,$303,2.12%
1992,"$288,210,000,000",5.50%,$319,2.15%
1991,"$270,105,000,000",1.10%,$306,2.19%
1990,"$320,979,000,000",5.50%,$371,2.24%
1989,"$296,043,000,000",5.90%,$350,2.26%
1988,"$294,479,000,000",9.60%,$356,2.28%
1987,"$278,864,000,000",4.00%,$345,2.31%
1986,"$248,398,000,000",4.80%,$314,2.34%
1985,"$233,520,000,000",5.30%,$302,2.35%
1984,"$211,843,000,000",3.80%,$281,2.37%
1983,"$218,218,000,000",7.30%,$296,2.37%
1982,"$200,035,000,000",3.50%,$278,2.36%
1981,"$193,153,000,000",6.00%,$274,2.38%
1980,"$186,170,000,000",6.70%,$271,2.41%
