Year,GDP PPP,GDP PPP per Capita,PPP Per Capita Change,Pop. Change
2031,"$28,403,573,000,000","$18,485",,0.75%
2030,"$26,193,658,000,000","$17,175",-7.10%,0.77%
2029,"$24,150,412,000,000","$15,957",-7.10%,0.80%
2028,"$22,276,032,000,000","$14,837",-7%,0.82%
2027,"$20,578,630,000,000","$13,819",-6.90%,0.85%
2026,"$18,902,320,000,000","$12,801",8.60%,0.87%
2025,"$17,257,883,000,000","$11,789",9.70%,0.89%
2024,"$15,593,814,000,000","$10,747",8.80%,0.89%
2023,"$14,207,444,000,000","$9,880",10.20%,0.89%
2022,"$12,779,117,000,000","$8,965",14.40%,0.79%
2021,"$11,086,920,000,000","$7,840",15.20%,0.83%
2020,"$9,541,256,000,000","$6,802",-2.80%,0.98%
2019,"$9,725,232,000,000","$7,001",6.20%,1.05%
2018,"$9,061,964,000,000","$6,592",9%,1.10%
2017,"$8,223,736,000,000","$6,048",7.50%,1.17%
2016,"$7,564,980,000,000","$5,629",8%,1.20%
2015,"$6,922,249,000,000","$5,212",7.70%,1.20%
2014,"$6,350,774,000,000","$4,840",7.90%,1.27%
2013,"$5,811,417,000,000","$4,485",6.80%,1.34%
2012,"$5,371,155,000,000","$4,201",6%,1.38%
2011,"$5,000,148,000,000","$3,965",5.90%,1.43%
2010,"$4,655,083,000,000","$3,744",8.20%,1.47%
2009,"$4,238,973,000,000","$3,459",7%,1.46%
2008,"$3,905,909,000,000","$3,234",3.60%,1.45%
2007,"$3,717,347,000,000","$3,122",8.90%,1.52%
2006,"$3,361,754,000,000","$2,866",9.70%,1.58%
2005,"$3,017,913,000,000","$2,614",9.50%,1.64%
2004,"$2,711,326,000,000","$2,387",9%,1.72%
2003,"$2,446,496,000,000","$2,191",8.10%,1.75%
2002,"$2,224,292,000,000","$2,027",3.50%,1.83%
2001,"$2,109,995,000,000","$1,958",5.20%,1.89%
2000,"$1,968,569,000,000","$1,861",4.20%,1.90%
1999,"$1,853,758,000,000","$1,786",8.30%,1.92%
1998,"$1,679,343,000,000","$1,649",5.30%,1.95%
1997,"$1,563,958,000,000","$1,565",3.80%,1.99%
1996,"$1,477,606,000,000","$1,508",7.40%,2.02%
1995,"$1,349,179,000,000","$1,405",7.60%,2.03%
1994,"$1,228,431,000,000","$1,305",6.70%,2.07%
1993,"$1,127,656,000,000","$1,223",5%,2.12%
1992,"$1,051,591,000,000","$1,165",5.60%,2.15%
1991,"$974,719,000,000","$1,103",2.20%,2.19%
1990,"$932,971,000,000","$1,079",7.10%,2.24%
1989,"$852,160,000,000","$1,007",7.70%,2.26%
1988,"$773,974,000,000",$935,11%,2.28%
1987,"$681,952,000,000",$843,4.10%,2.31%
1986,"$640,081,000,000",$810,4.40%,2.34%
1985,"$598,842,000,000",$775,6.10%,2.35%
1984,"$551,509,000,000",$731,5.10%,2.37%
1983,"$512,709,000,000",$695,8.90%,2.37%
1982,"$459,867,000,000",$638,7.30%,2.36%
1981,"$418,558,000,000",$595,13.30%,2.38%
1980,"$360,713,000,000",$525,,2.41%
